star_id,ccd_num,imageid,zone,ra,dec,mag,x_pix,y_pix,ra_err,dec_err,x,y,z,flux,flux_err,normmag,flag,background,threshold,mag_err,ellipticity,class_star,orig_catid,timestamp
ref_2_56501,2,970,2520,237.0474,7.0004,16.1016,1143.7616,1126.5443,0.4933,0.3148,-0.5439453528012627,9.0E-16,-0.8391206427957245,0.0,0.4164,0.5138,0.8123,0.7832,0.408,0.5048,0.1716,0.1953,56501,36792
ref_2_56501,2,971,2520,237.0474,7.0004,15.089,1143.7616,1126.5443,0.0641,0.2755,-0.5439453528012627,9.0E-16,-0.8391206427957245,0.0,0.4961,0.0958,0.3056,0.035,0.6382,0.5066,0.4814,0.2553,56501,36809
ref_2_56501,2,972,2520,237.0474,7.0004,15.6915,1143.7616,1126.5443,0.4332,0.4821,-0.5439453528012627,9.0E-16,-0.8391206427957245,0.0,0.9442,0.6566,0.2119,0.4476,0.738,0.8061,0.7484,0.2026,56501,36823
ref_2_56501,2,973,2520,237.0474,7.0004,15.6663,1143.7616,1126.5443,0.015,0.6197,-0.5439453528012627,9.0E-16,-0.8391206427957245,0.0,0.708,0.7853,0.9565,0.4097,0.088,0.4721,0.3737,0.7681,56501,36839
ref_2_56501,2,974,2520,237.0474,7.0004,16.513,1143.7616,1126.5443,0.9051,0.0505,-0.5439453528012627,9.0E-16,-0.8391206427957245,0.0,0.4308,0.6308,0.8544,0.4738,0.1484,0.6217,0.019,0.7744,56501,36855
ref_2_56501,2,975,2520,237.0474,7.0004,16.419,1143.7616,1126.5443,0.2225,0.5309,-0.5439453528012627,9.0E-16,-0.8391206427957245,0.0,0.3749,0.4215,0.1357,0.1002,0.3274,0.8556,0.9504,0.3111,56501,36870
ref_2_56501,2,976,2520,237.0474,7.0004,16.061,1143.7616,1126.5443,0.0314,0.2311,-0.5439453528012627,9.0E-16,-0.8391206427957245,0.0,0.9928,0.5735,0.4757,0.857,0.9973,0.5004,0.8882,0.2309,56501,36886
ref_2_56501,2,977,2520,237.0474,7.0004,16.1756,1143.7616,1126.5443,0.0661,0.4379,-0.5439453528012627,9.0E-16,-0.8391206427957245,0.0,0.6622,0.3069,0.0615,0.6056,0.3442,0.6625,0.6571,0.8012,56501,36902
ref_2_56501,2,978,2520,237.0474,7.0004,15.1968,1143.7616,1126.5443,0.9093,0.3761,-0.5439453528012627,9.0E-16,-0.8391206427957245,0.0,0.7981,0.9999,0.9738,0.9459,0.3931,0.3406,0.3077,0.873,56501,36917
ref_2_56501,2,979,2520,237.0474,7.0004,14.9878,1143.7616,1126.5443,0.5573,0.6283,-0.5439453528012627,9.0E-16,-0.8391206427957245,0.0,0.3459,0.25,0.4868,0.5334,0.1079,0.1987,0.5019,0.6434,56501,36933
ref_2_56501,2,980,2520,237.0474,7.0004,16.2827,1143.7616,1126.5443,0.0464,0.5346,-0.5439453528012627,9.0E-16,-0.8391206427957245,0.0,0.4678,0.3581,0.2697,0.7117,0.9127,0.1248,0.8148,0.6299,56501,36949
ref_2_56501,2,981,2520,237.0474,7.0004,15.455,1143.7616,1126.5443,0.6613,0.0467,-0.5439453528012627,9.0E-16,-0.8391206427957245,0.0,0.9933,0.2638,0.1994,0.5271,0.9813,0.0078,0.8902,0.6349,56501,36965
ref_2_56501,2,982,2520,237.0474,7.0004,15.8153,1143.7616,1126.5443,0.5277,0.0721,-0.5439453528012627,9.0E-16,-0.8391206427957245,0.0,0.3455,0.1355,0.2286,0.9901,0.7399,0.8088,0.4565,0.3386,56501,36980
ref_2_56501,2,983,2520,237.0474,7.0004,15.2169,1143.7616,1126.5443,0.6092,0.0178,-0.5439453528012627,9.0E-16,-0.8391206427957245,0.0,0.4759,0.0817,0.099,0.2666,0.5571,0.1128,0.0426,0.8552,56501,36995
ref_2_45811,2,970,2275,240.8443,6.3196,14.3573,2306.2427,913.7338,0.6672,0.3495,0.2058934198400262,-0.4415398637343185,-0.8732986020829635,0.0,0.0624,0.3495,0.5215,0.2036,0.8993,0.3794,0.2167,0.4485,45811,36792
ref_2_45811,2,971,2275,240.8443,6.3196,14.4118,2306.2427,913.7338,0.2787,0.5228,0.2058934198400262,-0.4415398637343185,-0.8732986020829635,0.0,0.7524,0.5915,0.8081,0.1277,0.4552,0.739,0.7578,0.5559,45811,36809
ref_2_45811,2,972,2275,240.8443,6.3196,14.2417,2306.2427,913.7338,0.4911,0.4123,0.2058934198400262,-0.4415398637343185,-0.8732986020829635,0.0,0.8125,0.5334,0.3673,0.2607,0.6023,0.8878,0.6187,0.3625,45811,36823
ref_2_45811,2,973,2275,240.8443,6.3196,14.2819,2306.2427,913.7338,0.8098,0.7425,0.2058934198400262,-0.4415398637343185,-0.8732986020829635,0.0,0.7955,0.1304,0.2251,0.7692,0.062,0.3572,0.2177,0.0781,45811,36839
ref_2_45811,2,974,2275,240.8443,6.3196,14.5192,2306.2427,913.7338,0.9732,0.8075,0.2058934198400262,-0.4415398637343185,-0.8732986020829635,0.0,0.228,0.7347,0.4441,0.8257,0.3263,0.9335,0.8474,0.7836,45811,36855
ref_2_45811,2,975,2275,240.8443,6.3196,14.2787,2306.2427,913.7338,0.8669,0.385,0.2058934198400262,-0.4415398637343185,-0.8732986020829635,0.0,0.3933,0.0253,0.8687,0.6187,0.1721,0.6105,0.3757,0.2456,45811,36870
ref_2_45811,2,976,2275,240.8443,6.3196,14.6608,2306.2427,913.7338,0.9312,0.8467,0.2058934198400262,-0.4415398637343185,-0.8732986020829635,0.0,0.2118,0.3745,0.8993,0.2667,0.1021,0.0649,0.9972,0.7527,45811,36886
ref_2_45811,2,977,2275,240.8443,6.3196,14.7237,2306.2427,913.7338,0.3337,0.8173,0.2058934198400262,-0.4415398637343185,-0.8732986020829635,0.0,0.7642,0.5283,0.5624,0.8853,0.5947,0.0385,0.3993,0.685,45811,36902
ref_2_45811,2,978,2275,240.8443,6.3196,14.4263,2306.2427,913.7338,0.787,0.3576,0.2058934198400262,-0.4415398637343185,-0.8732986020829635,0.0,0.1197,0.5827,0.0438,0.3773,0.8534,0.7524,0.3173,0.8975,45811,36917
ref_2_45811,2,979,2275,240.8443,6.3196,14.3745,2306.2427,913.7338,0.2647,0.203,0.2058934198400262,-0.4415398637343185,-0.8732986020829635,0.0,0.9093,0.8663,0.0116,0.6046,0.7515,0.6678,0.1925,0.9958,45811,36933
ref_2_45811,2,980,2275,240.8443,6.3196,13.7822,2306.2427,913.7338,0.2374,0.4302,0.2058934198400262,-0.4415398637343185,-0.8732986020829635,0.0,0.9889,0.7099,0.6611,0.176,0.2897,0.3523,0.5935,0.157,45811,36949
ref_2_45811,2,981,2275,240.8443,6.3196,14.4641,2306.2427,913.7338,0.8683,0.966,0.2058934198400262,-0.4415398637343185,-0.8732986020829635,0.0,0.9416,0.6064,0.323,0.2023,0.1313,0.7299,0.9362,0.6738,45811,36965
